Player Name,Team,Age,Positions,FP,FP/GP,GP,TOI,PP TOI,G,A,P,SOG,PPG,PPP,BLK,HIT,plus_minus,GWG,FOW,FOL,FO%,Extra,Extra
Will Smith,S.J,20,"C,RW",233.7,3.96,59,18.6,3.4,17.8,30.2,48.0,133.4,3.4,14.5,17.1,20.9,-5.8,2.2,30.6,68.8,31%,,
Quinton Byfield,L.A,23,"C,LW",233.7,3.89,60,20.2,3.0,17.3,28.9,46.2,143.2,4.3,11.8,23.4,54.4,3.6,2.7,276.2,350.2,44%,,
Luke Hughes,N.J,22,D,233.4,3.83,61,25.3,2.5,6.6,32.8,39.5,126.2,1.2,14.5,74.8,28.2,1.9,1.0,0.0,0.3,0%,,
Anze Kopitar,L.A,38,C,232.6,3.88,60,18.0,3.4,16.7,31.6,48.3,91.2,6.1,19.1,46.3,31.8,2.4,2.6,594.4,460.6,56%,,
Morgan Rielly,TOR,31,D,232.3,3.87,60,22.7,2.4,6.2,32.7,39.0,114.7,0.8,12.0,92.0,31.6,0.8,0.9,0.0,0.0,0%,,
Logan Cooley,UTA,21,C,232.3,3.87,60,18.6,2.5,20.6,27.0,47.6,126.4,5.2,12.9,27.0,56.5,0.9,3.1,275.7,384.2,42%,,
Jack Roslovic,EDM,28,"C,RW",231.8,4.00,58,19.2,2.9,21.0,24.2,45.2,149.3,4.3,11.0,21.1,22.0,2.5,3.1,103.5,96.4,52%,,
Victor Hedman,T.B,34,D,231.5,3.80,61,19.4,2.4,7.3,33.3,40.6,102.2,2.0,15.8,85.7,36.4,6.9,1.3,0.0,0.0,0%,,
Teuvo Teravainen,CHI,31,"LW,RW",230.5,3.84,60,20.3,2.7,16.7,31.7,48.3,104.9,6.3,18.0,30.2,28.1,-4.2,2.4,61.4,80.8,43%,,
Owen Tippett,PHI,26,"LW,RW",229.7,3.71,62,16.8,2.3,18.5,20.0,38.5,175.4,2.3,6.1,41.1,98.0,-1.8,2.7,5.8,11.3,34%,,
Morgan Geekie,BOS,27,C,229.4,3.96,58,17.4,3.2,25.7,19.8,45.5,132.6,6.6,14.4,24.6,89.4,-2.5,3.5,145.1,176.8,45%,,
Andrei Svechnikov,CAR,25,"LW,RW",229.2,3.82,60,17.1,2.9,18.3,23.8,42.1,159.5,7.8,14.6,17.3,99.4,5.6,3.3,4.0,5.4,42%,,
Vince Dunn,SEA,29,D,227.7,3.79,60,21.8,3.0,9.5,29.3,38.8,126.6,2.5,14.4,67.0,36.0,-4.6,1.1,0.0,0.0,0%,,
Seth Jones,FLA,31,D,227.0,3.72,61,23.7,3.4,8.7,25.4,34.1,121.8,5.2,17.5,92.6,78.0,1.9,1.5,0.0,0.0,0%,,
Shane Pinto,OTT,25,C,225.3,3.69,61,19.7,1.4,21.7,19.7,41.4,144.9,2.1,3.6,50.0,64.2,3.4,3.5,403.3,382.6,51%,,
Valeri Nichushkin,COL,30,"LW,RW",224.2,3.74,60,17.5,3.1,22.0,20.5,42.5,140.5,8.4,14.4,23.8,66.0,7.9,3.9,2.7,2.7,50%,,
Jake Debrusk,VAN,29,"LW,RW",222.7,3.77,59,18.1,3.3,21.1,16.5,37.5,152.8,11.4,17.4,32.7,64.1,-0.7,3.0,9.6,16.4,37%,,
Steven Stamkos,NSH,35,"C,LW,RW",222.1,3.64,61,18.0,3.0,20.0,19.5,39.5,143.0,8.9,15.6,32.8,49.5,-5.9,2.8,253.2,226.1,53%,,
Rasmus Andersson,CGY,29,D,221.1,3.81,58,24.8,2.6,8.4,21.4,29.8,126.2,1.7,8.1,121.2,31.4,-4.9,1.1,0.0,0.0,0%,,
